,start_date,end_date,town,super_petrol,diesel,kerosene
1561,15/09/2022,14/10/2022,Mombasa,176.98,162.76,145.69
1562,15/09/2022,14/10/2022,Kilifi,177.69,163.47,146.41
1563,15/09/2022,14/10/2022,Likoni Mainland,177.34,163.11,146.05
1564,15/09/2022,14/10/2022,Kwale,177.34,163.11,146.05
1565,15/09/2022,14/10/2022,Malindi,177.9,163.67,146.61
1566,15/09/2022,14/10/2022,Lungalunga,178.05,163.83,146.76
1567,15/09/2022,14/10/2022,Voi,178.46,164.24,147.17
1568,15/09/2022,14/10/2022,Taveta,179.86,165.64,148.58
1569,15/09/2022,14/10/2022,Lamu,180.27,166.06,149.0
1570,15/09/2022,14/10/2022,Hola,180.57,166.34,149.28
1571,15/09/2022,14/10/2022,Mpeketoni,180.27,166.06,149.0
1572,15/09/2022,14/10/2022,Minjila,179.25,165.02,147.96
1573,15/09/2022,14/10/2022,Garsen,179.33,165.11,148.05
1574,15/09/2022,14/10/2022,Samburu,177.28,163.06,146.0
1575,15/09/2022,14/10/2022,Taru,177.46,163.24,146.18
1576,15/09/2022,14/10/2022,Mwatate,178.79,164.57,147.51
1577,15/09/2022,14/10/2022,Wundanji,178.96,164.74,147.68
1578,15/09/2022,14/10/2022,Kaloleni,177.13,162.92,145.85
1579,15/09/2022,14/10/2022,Marereni,178.56,164.34,147.27
1580,15/09/2022,14/10/2022,Nairobi,179.3,165.0,147.94
1581,15/09/2022,14/10/2022,Thika,179.31,165.01,147.94
1582,15/09/2022,14/10/2022,Machakos,179.54,165.24,148.18
1583,15/09/2022,14/10/2022,Kajiado,179.72,165.42,148.36
1584,15/09/2022,14/10/2022,Makuyu,179.59,165.29,148.23
1585,15/09/2022,14/10/2022,Muranga,179.82,165.52,148.46
1586,15/09/2022,14/10/2022,Sagana,180.05,165.75,148.68
1587,15/09/2022,14/10/2022,Embu,180.4,166.1,149.04
1588,15/09/2022,14/10/2022,Kerugoya,180.33,166.03,148.97
1589,15/09/2022,14/10/2022,Narok,180.69,166.4,149.33
1590,15/09/2022,14/10/2022,Nyeri,180.67,166.37,149.31
1591,15/09/2022,14/10/2022,Namanga,180.85,166.55,149.48
1592,15/09/2022,14/10/2022,Kiganjo,180.64,166.34,149.28
1593,15/09/2022,14/10/2022,Chuka,180.93,166.63,149.57
1594,15/09/2022,14/10/2022,Kitui,180.84,166.54,149.47
1595,15/09/2022,14/10/2022,Mwingi,181.22,166.93,149.86
1596,15/09/2022,14/10/2022,Nanyuki,181.23,166.94,149.87
1597,15/09/2022,14/10/2022,Nkubu,182.21,167.91,150.84
1598,15/09/2022,14/10/2022,Mtito Andei,181.74,167.44,150.38
1599,15/09/2022,14/10/2022,Meru,182.4,168.1,151.04
1600,15/09/2022,14/10/2022,Isiolo,182.26,167.96,150.89
