,start_date,end_date,town,super_petrol,diesel,kerosene
3233,15/01/2022,14/02/2022,Mombasa,127.46,108.36,101.29
3234,15/01/2022,14/02/2022,Kilifi,128.17,109.07,102.01
3235,15/01/2022,14/02/2022,Likoni Mainland,127.82,108.71,101.65
3236,15/01/2022,14/02/2022,Kwale,127.82,108.71,101.65
3237,15/01/2022,14/02/2022,Malindi,128.39,109.27,102.21
3238,15/01/2022,14/02/2022,Lungalunga,128.53,109.43,102.36
3239,15/01/2022,14/02/2022,Voi,128.94,109.84,102.76
3240,15/01/2022,14/02/2022,Taveta,130.36,111.24,104.18
3241,15/01/2022,14/02/2022,Lamu,130.77,111.65,104.59
3242,15/01/2022,14/02/2022,Hola,131.05,111.94,104.88
3243,15/01/2022,14/02/2022,Nairobi,129.72,110.6,103.54
3244,15/01/2022,14/02/2022,Thika,129.72,110.6,103.54
3245,15/01/2022,14/02/2022,Machakos,129.95,110.84,103.78
3246,15/01/2022,14/02/2022,Kajiado,130.13,111.01,103.95
3247,15/01/2022,14/02/2022,Makuyu,130.0,110.88,103.82
3248,15/01/2022,14/02/2022,Muranga,130.24,111.12,104.06
3249,15/01/2022,14/02/2022,Sagana,130.45,111.34,104.27
3250,15/01/2022,14/02/2022,Embu,130.82,111.7,104.64
3251,15/01/2022,14/02/2022,Kerugoya,130.73,111.63,104.57
3252,15/01/2022,14/02/2022,Narok,131.1,111.99,104.92
3253,15/01/2022,14/02/2022,Nyeri,131.09,111.97,104.91
3254,15/01/2022,14/02/2022,Namanga,131.25,112.15,105.07
3255,15/01/2022,14/02/2022,Kiganjo,131.05,111.93,104.87
3256,15/01/2022,14/02/2022,Chuka,131.35,112.23,105.17
3257,15/01/2022,14/02/2022,Kitui,131.24,112.13,105.06
3258,15/01/2022,14/02/2022,Mwingi,131.63,112.51,105.45
3259,15/01/2022,14/02/2022,Nanyuki,131.64,112.54,105.46
3260,15/01/2022,14/02/2022,Nkubu,132.61,113.5,106.43
3261,15/01/2022,14/02/2022,Mtito Andei,132.15,113.03,105.97
3262,15/01/2022,14/02/2022,Meru,132.81,113.69,106.63
3263,15/01/2022,14/02/2022,Isiolo,132.67,113.55,106.49
