,start_date,end_date,town,super_petrol,diesel,kerosene
2230,15/06/2022,14/07/2022,Mombasa,156.86,137.76,125.69
2231,15/06/2022,14/07/2022,Kilifi,157.57,138.47,126.41
2232,15/06/2022,14/07/2022,Likoni Mainland,157.22,138.11,126.05
2233,15/06/2022,14/07/2022,Kwale,157.22,138.11,126.05
2234,15/06/2022,14/07/2022,Malindi,157.78,138.67,126.61
2235,15/06/2022,14/07/2022,Lungalunga,157.93,138.83,126.76
2236,15/06/2022,14/07/2022,Voi,158.34,139.24,127.17
2237,15/06/2022,14/07/2022,Taveta,159.75,140.64,128.58
2238,15/06/2022,14/07/2022,Lamu,160.16,141.06,129.0
2239,15/06/2022,14/07/2022,Hola,160.45,141.34,129.28
2240,15/06/2022,14/07/2022,Mpeketoni,160.16,141.06,129.0
2241,15/06/2022,14/07/2022,Minjila,159.13,140.02,127.96
2242,15/06/2022,14/07/2022,Garsen,159.22,140.11,128.05
2243,15/06/2022,14/07/2022,Samburu,157.16,138.06,126.0
2244,15/06/2022,14/07/2022,Taru,157.34,138.24,126.18
2245,15/06/2022,14/07/2022,Mwatate,158.68,139.57,127.51
2246,15/06/2022,14/07/2022,Wundanji,158.84,139.74,127.68
2247,15/06/2022,14/07/2022,Kaloleni,157.01,137.92,125.85
2248,15/06/2022,14/07/2022,Marereni,158.44,139.34,127.27
2249,15/06/2022,14/07/2022,Nairobi,159.12,140.0,127.94
2250,15/06/2022,14/07/2022,Thika,159.12,140.01,127.94
2251,15/06/2022,14/07/2022,Machakos,159.36,140.24,128.18
2252,15/06/2022,14/07/2022,Kajiado,159.54,140.42,128.36
2253,15/06/2022,14/07/2022,Makuyu,159.41,140.29,128.23
2254,15/06/2022,14/07/2022,Muranga,159.64,140.52,128.46
2255,15/06/2022,14/07/2022,Sagana,159.85,140.75,128.68
2256,15/06/2022,14/07/2022,Embu,160.22,141.1,129.04
2257,15/06/2022,14/07/2022,Kerugoya,160.14,141.03,128.97
2258,15/06/2022,14/07/2022,Narok,160.5,141.4,129.33
2259,15/06/2022,14/07/2022,Nyeri,160.49,141.37,129.31
2260,15/06/2022,14/07/2022,Namanga,160.66,141.55,129.48
2261,15/06/2022,14/07/2022,Kiganjo,160.46,141.34,129.28
2262,15/06/2022,14/07/2022,Chuka,160.75,141.63,129.57
2263,15/06/2022,14/07/2022,Kitui,160.65,141.54,129.47
2264,15/06/2022,14/07/2022,Mwingi,161.03,141.93,129.86
2265,15/06/2022,14/07/2022,Nanyuki,161.05,141.94,129.87
2266,15/06/2022,14/07/2022,Nkubu,162.01,142.91,130.84
2267,15/06/2022,14/07/2022,Mtito Andei,161.55,142.44,130.38
