,start_date,end_date,town,super_petrol,diesel,kerosene
0,15/07/2023,14/08/2023,Mombasa,191.62,176.63,166.43
1,15/07/2023,14/08/2023,Kilifi,192.39,177.4,167.19
2,15/07/2023,14/08/2023,Likoni Mainland,192.0,177.02,166.81
3,15/07/2023,14/08/2023,Kwale,192.0,177.02,166.81
4,15/07/2023,14/08/2023,Malindi,192.62,177.62,167.41
5,15/07/2023,14/08/2023,Lungalunga,192.77,177.78,167.57
6,15/07/2023,14/08/2023,Voi,193.21,178.21,168.01
7,15/07/2023,14/08/2023,Taveta,194.73,179.73,169.52
8,15/07/2023,14/08/2023,Lamu,195.17,180.17,169.97
9,15/07/2023,14/08/2023,Hola,195.47,180.48,170.28
10,15/07/2023,14/08/2023,Mpeketoni,195.17,180.17,169.97
11,15/07/2023,14/08/2023,Minjila,194.06,179.07,168.86
12,15/07/2023,14/08/2023,Garsen,194.15,179.16,168.95
13,15/07/2023,14/08/2023,Samburu,191.95,176.95,166.75
14,15/07/2023,14/08/2023,Taru,192.14,177.14,166.95
15,15/07/2023,14/08/2023,Mwatate,193.57,178.58,168.37
16,15/07/2023,14/08/2023,Wundanji,193.75,178.76,168.56
17,15/07/2023,14/08/2023,Kaloleni,191.79,176.8,166.6
18,15/07/2023,14/08/2023,Marereni,193.32,178.33,168.12
19,15/07/2023,14/08/2023,Nairobi,194.68,179.67,169.48
20,15/07/2023,14/08/2023,Thika,194.68,179.67,169.48
21,15/07/2023,14/08/2023,Machakos,194.94,179.92,169.73
22,15/07/2023,14/08/2023,Kajiado,195.13,180.11,169.93
23,15/07/2023,14/08/2023,Makuyu,195.0,179.97,169.79
24,15/07/2023,14/08/2023,Muranga,195.24,180.23,170.03
25,15/07/2023,14/08/2023,Sagana,195.48,180.46,170.28
26,15/07/2023,14/08/2023,Embu,195.87,180.86,170.66
27,15/07/2023,14/08/2023,Kerugoya,195.78,180.76,170.58
28,15/07/2023,14/08/2023,Narok,196.17,181.16,170.97
29,15/07/2023,14/08/2023,Nyeri,196.16,181.15,170.95
30,15/07/2023,14/08/2023,Namanga,196.34,181.32,171.13
31,15/07/2023,14/08/2023,Kiganjo,196.12,181.1,170.91
32,15/07/2023,14/08/2023,Chuka,196.43,181.42,171.23
33,15/07/2023,14/08/2023,Kitui,196.33,181.31,171.12
34,15/07/2023,14/08/2023,Mwingi,196.75,181.73,171.54
35,15/07/2023,14/08/2023,Nanyuki,196.76,181.74,171.55
36,15/07/2023,14/08/2023,Nkubu,197.8,182.78,172.6
37,15/07/2023,14/08/2023,Mtito Andei,197.29,182.28,172.1
38,15/07/2023,14/08/2023,Meru,198.01,182.99,172.8
39,15/07/2023,14/08/2023,Isiolo,197.85,182.84,172.64
40,15/07/2023,14/08/2023,Maua,198.49,183.48,173.29
41,15/07/2023,14/08/2023,Garissa,199.16,184.14,173.95
42,15/07/2023,14/08/2023,Marsabit,203.12,188.11,177.91
43,15/07/2023,14/08/2023,Liboi,202.13,187.12,176.92
44,15/07/2023,14/08/2023,Moyale,204.81,189.8,179.6
45,15/07/2023,14/08/2023,Sololo,203.8,188.78,178.59
46,15/07/2023,14/08/2023,Habaswein,202.05,187.04,176.84
47,15/07/2023,14/08/2023,Dadaab,200.65,185.63,175.44
48,15/07/2023,14/08/2023,Tarbaj,204.46,189.45,179.26
49,15/07/2023,14/08/2023,Elwak,206.19,191.17,180.98
50,15/07/2023,14/08/2023,Wajir,204.64,189.61,179.43
51,15/07/2023,14/08/2023,Modogashe,202.2,187.19,176.99
52,15/07/2023,14/08/2023,Mandera,208.68,193.67,183.49
53,15/07/2023,14/08/2023,Matuu,195.65,180.62,170.44
54,15/07/2023,14/08/2023,Merti,200.42,185.4,175.22
55,15/07/2023,14/08/2023,Oldonyiro,197.21,182.2,172.01
56,15/07/2023,14/08/2023,Eldas,206.54,191.52,181.33
57,15/07/2023,14/08/2023,Bute,203.36,188.34,178.15
58,15/07/2023,14/08/2023,Hadado,201.84,186.83,176.63
59,15/07/2023,14/08/2023,Mai Mahiu,194.81,179.8,169.6
60,15/07/2023,14/08/2023,Doldo,197.57,182.56,172.38
61,15/07/2023,14/08/2023,Lamuria,196.63,181.62,171.42
62,15/07/2023,14/08/2023,Sipili,197.56,182.55,172.35
63,15/07/2023,14/08/2023,Marimanti,197.15,182.14,171.96
64,15/07/2023,14/08/2023,Mutuobare,196.45,181.44,171.25
65,15/07/2023,14/08/2023,North Horr,204.15,189.13,178.94
66,15/07/2023,14/08/2023,Maikona,202.66,187.64,177.46
67,15/07/2023,14/08/2023,Kalacha,203.24,188.23,178.04
68,15/07/2023,14/08/2023,Loyangalani,203.31,188.3,178.11
69,15/07/2023,14/08/2023,Turbi,203.1,188.09,177.9
70,15/07/2023,14/08/2023,Laisamis,200.1,185.09,174.89
71,15/07/2023,14/08/2023,Merille,199.79,184.77,174.58
72,15/07/2023,14/08/2023,Korr,201.12,186.1,175.91
73,15/07/2023,14/08/2023,Nakuru,193.77,179.14,168.99
74,15/07/2023,14/08/2023,Gilgil,193.72,179.09,168.94
75,15/07/2023,14/08/2023,Mogotio,193.71,179.08,168.93
76,15/07/2023,14/08/2023,Molo,193.8,179.17,169.02
77,15/07/2023,14/08/2023,Olenguruone,194.56,179.93,169.78
78,15/07/2023,14/08/2023,Londiani,194.04,179.42,169.27
79,15/07/2023,14/08/2023,Nyahururu,194.03,179.41,169.25
80,15/07/2023,14/08/2023,Archers Post,197.24,182.61,172.46
81,15/07/2023,14/08/2023,Lodosoit,198.42,183.79,173.64
82,15/07/2023,14/08/2023,Naivasha,194.11,179.49,169.34
83,15/07/2023,14/08/2023,Marigat,194.54,179.92,169.77
84,15/07/2023,14/08/2023,Kabarnet ,195.08,180.45,170.29
85,15/07/2023,14/08/2023,Maralal,196.24,181.61,171.46
86,15/07/2023,14/08/2023,Wamba,197.14,182.51,172.36
87,15/07/2023,14/08/2023,Rumuruti,194.61,179.99,169.84
88,15/07/2023,14/08/2023,Eldoret,194.53,179.89,169.75
89,15/07/2023,14/08/2023,Kiplombe,194.53,179.89,169.75
90,15/07/2023,14/08/2023,Iten,194.53,179.89,169.75
91,15/07/2023,14/08/2023,Naiberi,194.53,179.89,169.75
92,15/07/2023,14/08/2023,Kesses,194.53,179.89,169.75
93,15/07/2023,14/08/2023,Kapsabet,194.54,179.91,169.77
94,15/07/2023,14/08/2023,Webuye,194.98,180.36,170.21
95,15/07/2023,14/08/2023,Kitale,194.92,180.29,170.14
96,15/07/2023,14/08/2023,Kapenguria ,195.6,180.96,170.82
97,15/07/2023,14/08/2023,Bungoma,195.34,180.72,170.57
98,15/07/2023,14/08/2023,Moiben,194.54,179.91,169.77
99,15/07/2023,14/08/2023,Matunda,194.52,179.88,169.73
100,15/07/2023,14/08/2023,Burnt Forest,194.47,179.84,169.7
101,15/07/2023,14/08/2023,Tambach,194.57,179.94,169.79
102,15/07/2023,14/08/2023,Kapsowar,195.07,180.44,170.29
103,15/07/2023,14/08/2023,Chebara,194.95,180.31,170.17
104,15/07/2023,14/08/2023,Kimwarer,194.87,180.23,170.08
105,15/07/2023,14/08/2023,Timboroa,194.78,180.15,170.0
106,15/07/2023,14/08/2023,Nandi Hills,194.74,180.1,169.96
107,15/07/2023,14/08/2023,Kaiboi,194.59,179.95,169.8
108,15/07/2023,14/08/2023,Kiminini,195.11,180.48,170.33
109,15/07/2023,14/08/2023,Endebes,195.48,180.86,170.71
110,15/07/2023,14/08/2023,Saboti,195.14,180.51,170.36
111,15/07/2023,14/08/2023,Chepareria,195.82,181.19,171.04
112,15/07/2023,14/08/2023,Lomut,197.56,182.92,172.78
113,15/07/2023,14/08/2023,Burgich,196.26,181.63,171.48
114,15/07/2023,14/08/2023,Sigor,196.4,181.77,171.62
115,15/07/2023,14/08/2023,Lodwar,199.02,184.38,174.23
116,15/07/2023,14/08/2023,Kakuma,200.73,186.09,175.95
117,15/07/2023,14/08/2023,Lokichar,197.94,183.31,173.17
118,15/07/2023,14/08/2023,Kalokol,199.83,185.21,175.06
119,15/07/2023,14/08/2023,Lokori,198.34,183.7,173.56
120,15/07/2023,14/08/2023,Lokitaung,202.93,188.3,178.15
121,15/07/2023,14/08/2023,Kapedo,197.56,182.92,172.78
122,15/07/2023,14/08/2023,Malaba,195.78,181.15,171.0
123,15/07/2023,14/08/2023,Lokichogio,202.0,187.36,177.22
124,15/07/2023,14/08/2023,Ziwa,194.74,180.1,169.96
125,15/07/2023,14/08/2023,Soy,194.53,179.89,169.75
126,15/07/2023,14/08/2023,Moi's Bridge,194.6,179.96,169.82
127,15/07/2023,14/08/2023,Turbo,194.47,179.84,169.7
128,15/07/2023,14/08/2023,Kibish,203.19,188.55,178.41
129,15/07/2023,14/08/2023,Nakalale,201.92,187.28,177.14
130,15/07/2023,14/08/2023,Loima,198.07,183.44,173.29
131,15/07/2023,14/08/2023,Lokiriama,199.75,185.11,174.97
132,15/07/2023,14/08/2023,Kainuk,196.75,182.12,171.97
133,15/07/2023,14/08/2023,Kacheliba,196.03,181.4,171.25
134,15/07/2023,14/08/2023,Kiwawa,196.68,182.05,171.9
135,15/07/2023,14/08/2023,Ortum,196.24,181.61,171.46
136,15/07/2023,14/08/2023,Kachibora,194.95,180.31,170.17
137,15/07/2023,14/08/2023,Kwanza,195.71,181.08,170.93
138,15/07/2023,14/08/2023,Kaplamai,194.97,180.34,170.2
139,15/07/2023,14/08/2023,Eldama Ravine,195.41,180.79,170.64
140,15/07/2023,14/08/2023,Tenges,195.58,180.94,170.79
141,15/07/2023,14/08/2023,Barwessa,195.69,181.06,170.91
142,15/07/2023,14/08/2023,Kipsaraman,196.67,182.04,171.89
143,15/07/2023,14/08/2023,Loruk,196.53,181.9,171.75
144,15/07/2023,14/08/2023,Kabartonjo,195.41,180.79,170.64
145,15/07/2023,14/08/2023,Tindiret,195.48,180.86,170.71
146,15/07/2023,14/08/2023,O'lessos,194.6,179.96,169.82
147,15/07/2023,14/08/2023,Kobujoi,195.03,180.39,170.25
148,15/07/2023,14/08/2023,Serem,195.11,180.48,170.33
149,15/07/2023,14/08/2023,Kabiyet,194.53,179.89,169.75
150,15/07/2023,14/08/2023,Cheptulu,194.98,180.36,170.21
151,15/07/2023,14/08/2023,Songor,195.58,180.94,170.79
152,15/07/2023,14/08/2023,Kapcherop,195.18,180.55,170.4
153,15/07/2023,14/08/2023,Sambalat,195.92,181.28,171.14
154,15/07/2023,14/08/2023,Arror,195.54,180.91,170.76
155,15/07/2023,14/08/2023,Tot,195.76,181.13,170.98
156,15/07/2023,14/08/2023,Kaptarakwa,194.74,180.1,169.96
157,15/07/2023,14/08/2023,Kapese,197.91,183.27,173.13
158,15/07/2023,14/08/2023,Kalemngorok,197.25,182.62,172.47
159,15/07/2023,14/08/2023,Marich,196.16,181.52,171.38
160,15/07/2023,14/08/2023,Alale,196.68,182.05,171.9
161,15/07/2023,14/08/2023,Kunyao,196.32,181.69,171.54
162,15/07/2023,14/08/2023,Asilong,195.88,181.24,171.1
163,15/07/2023,14/08/2023,Orolwo,195.92,181.28,171.14
164,15/07/2023,14/08/2023,Sebit,195.87,181.23,171.09
165,15/07/2023,14/08/2023,Morpus,195.76,181.13,170.98
166,15/07/2023,14/08/2023,Chepkorniswo,195.64,181.01,170.86
167,15/07/2023,14/08/2023,Kaibichbich,195.59,180.95,170.81
168,15/07/2023,14/08/2023,Keringet,195.3,180.66,170.51
169,15/07/2023,14/08/2023,Kisumu,194.52,179.89,169.74
170,15/07/2023,14/08/2023,Sondu,194.64,180.0,169.86
171,15/07/2023,14/08/2023,Oyugis,195.15,180.52,170.37
172,15/07/2023,14/08/2023,Kakamega,194.58,179.94,169.8
173,15/07/2023,14/08/2023,Mumias,194.87,180.24,170.09
174,15/07/2023,14/08/2023,Bondo,194.75,180.11,169.97
175,15/07/2023,14/08/2023,Siaya,194.88,180.25,170.1
176,15/07/2023,14/08/2023,Kericho,195.07,180.44,170.29
177,15/07/2023,14/08/2023,Nyamira,195.14,180.51,170.36
178,15/07/2023,14/08/2023,Kisii,195.47,180.83,170.69
179,15/07/2023,14/08/2023,Sotik,195.29,180.65,170.51
180,15/07/2023,14/08/2023,Keroka,195.48,180.84,170.71
181,15/07/2023,14/08/2023,Busia,195.46,180.82,170.67
182,15/07/2023,14/08/2023,Homabay,195.4,180.76,170.62
183,15/07/2023,14/08/2023,Migori,196.32,181.68,171.54
184,15/07/2023,14/08/2023,Isebania,196.62,181.99,171.84
185,15/07/2023,14/08/2023,Bomet,195.72,181.09,170.94
186,15/07/2023,14/08/2023,Muhoroni,194.76,180.14,169.99
187,15/07/2023,14/08/2023,Mbita,195.39,180.75,170.61
188,15/07/2023,14/08/2023,Mbale,194.52,179.89,169.74
189,15/07/2023,14/08/2023,Etago,196.09,181.45,171.3
190,15/07/2023,14/08/2023,Magenche,196.19,181.56,171.41
191,15/07/2023,14/08/2023,Kilgoris,196.02,181.38,171.23
192,15/07/2023,14/08/2023,Malava,194.91,180.28,170.14
193,15/07/2023,14/08/2023,Lugari,195.33,180.69,170.55
194,15/07/2023,14/08/2023,Rodi Kopany,195.47,180.83,170.69
195,15/07/2023,14/08/2023,Ndhiwa,195.76,181.12,170.98
196,15/07/2023,14/08/2023,Rangwe,195.46,180.82,170.67
197,15/07/2023,14/08/2023,Sindo,195.47,180.83,170.69
198,15/07/2023,14/08/2023,Awasi,194.49,179.85,169.71
199,15/07/2023,14/08/2023,Ahero,194.52,179.89,169.74
200,15/07/2023,14/08/2023,Ugunja,194.98,180.35,170.21
201,15/07/2023,14/08/2023,Asembo,194.61,179.97,169.82
202,15/07/2023,14/08/2023,Usenge,195.12,180.48,170.35
203,15/07/2023,14/08/2023,Harambee,194.57,179.93,169.79
204,15/07/2023,14/08/2023,Muhuru Bay,196.47,181.84,171.69
205,15/07/2023,14/08/2023,Kehancha,196.72,182.09,171.94
206,15/07/2023,14/08/2023,Ntimaru,197.05,182.42,172.27
207,15/07/2023,14/08/2023,Rongo,195.74,181.1,170.95
208,15/07/2023,14/08/2023,Kaspokwony,195.69,181.05,170.91
209,15/07/2023,14/08/2023,Chwele,195.63,181.01,170.86
210,15/07/2023,14/08/2023,Kimilili,195.55,180.91,170.77
211,15/07/2023,14/08/2023,Nambale,195.46,180.82,170.67
212,15/07/2023,14/08/2023,SioPort,195.44,180.81,170.66
213,15/07/2023,14/08/2023,Port Bunyala,195.5,180.87,170.72
214,15/07/2023,14/08/2023,Funyula,195.3,180.67,170.52
215,15/07/2023,14/08/2023,Ogembo,195.63,181.01,170.86
216,15/07/2023,14/08/2023,Nyangusu,195.91,181.28,171.13
217,15/07/2023,14/08/2023,Sengera,195.83,181.19,171.05
218,15/07/2023,14/08/2023,Keumbu,195.54,180.9,170.76
219,15/07/2023,14/08/2023,Marani,195.22,180.59,170.44
220,15/07/2023,14/08/2023,Kerina,195.61,180.97,170.83
221,15/07/2023,14/08/2023,Ikonge,194.91,180.28,170.14
222,15/07/2023,14/08/2023,Nyansiongo,195.34,180.72,170.57
