,start_date,end_date,town,super_petrol,diesel,kerosene
3083,15/02/2022,14/03/2022,Mombasa,127.46,108.36,101.29
3084,15/02/2022,14/03/2022,Kilifi,128.17,109.07,102.01
3085,15/02/2022,14/03/2022,Likoni Mainland,127.82,108.71,101.65
3086,15/02/2022,14/03/2022,Kwale,127.82,108.71,101.65
3087,15/02/2022,14/03/2022,Malindi,128.39,109.27,102.21
3088,15/02/2022,14/03/2022,Lungalunga,128.53,109.43,102.36
3089,15/02/2022,14/03/2022,Voi,128.94,109.84,102.76
3090,15/02/2022,14/03/2022,Taveta,130.36,111.24,104.18
3091,15/02/2022,14/03/2022,Lamu,130.77,111.65,104.59
3092,15/02/2022,14/03/2022,Hola,131.05,111.94,104.88
3093,15/02/2022,14/03/2022,Nairobi,129.72,110.6,103.54
3094,15/02/2022,14/03/2022,Thika,129.72,110.6,103.54
3095,15/02/2022,14/03/2022,Machakos,129.95,110.84,103.78
3096,15/02/2022,14/03/2022,Matuu,130.62,111.5,104.44
3097,15/02/2022,14/03/2022,Kajiado,130.13,111.01,103.95
3098,15/02/2022,14/03/2022,Makuyu,130.0,110.88,103.82
3099,15/02/2022,14/03/2022,Muranga,130.24,111.12,104.06
3100,15/02/2022,14/03/2022,Sagana,130.45,111.34,104.27
3101,15/02/2022,14/03/2022,Embu,130.82,111.7,104.64
3102,15/02/2022,14/03/2022,Kerugoya,130.73,111.63,104.57
3103,15/02/2022,14/03/2022,Narok,131.1,111.99,104.92
3104,15/02/2022,14/03/2022,Nyeri,131.09,111.97,104.91
3105,15/02/2022,14/03/2022,Namanga,131.25,112.15,105.07
3106,15/02/2022,14/03/2022,Kiganjo,131.05,111.93,104.87
3107,15/02/2022,14/03/2022,Chuka,131.35,112.23,105.17
3108,15/02/2022,14/03/2022,Kitui,131.24,112.13,105.06
3109,15/02/2022,14/03/2022,Mwingi,131.63,112.51,105.45
3110,15/02/2022,14/03/2022,Nanyuki,131.64,112.54,105.46
3111,15/02/2022,14/03/2022,Nkubu,132.61,113.5,106.43
3112,15/02/2022,14/03/2022,Mtito Andei,132.15,113.03,105.97
3113,15/02/2022,14/03/2022,Meru,132.81,113.69,106.63
3114,15/02/2022,14/03/2022,Isiolo,132.67,113.55,106.49
3115,15/02/2022,14/03/2022,Maua,133.26,114.15,107.08
3116,15/02/2022,14/03/2022,Garissa,133.88,114.77,107.71
3117,15/02/2022,14/03/2022,Marsabit,137.57,118.45,111.39
3118,15/02/2022,14/03/2022,Liboi,136.65,117.54,110.47
3119,15/02/2022,14/03/2022,Moyale,139.15,120.03,112.97
3120,15/02/2022,14/03/2022,Sololo,138.2,119.09,112.03
3121,15/02/2022,14/03/2022,Habaswein,136.57,117.46,110.4
3122,15/02/2022,14/03/2022,Dadaab,135.27,116.15,109.09
3123,15/02/2022,14/03/2022,Tarbaj,138.82,119.71,112.64
3124,15/02/2022,14/03/2022,Elwak,140.42,121.32,114.25
3125,15/02/2022,14/03/2022,Wajir,138.97,119.87,112.8
3126,15/02/2022,14/03/2022,Modogashe,136.72,117.6,110.54
3127,15/02/2022,14/03/2022,Mandera,142.75,123.64,116.58
