,start_date,end_date,town,super_petrol,diesel,kerosene
1535,15/10/2022,14/11/2022,Sindo,179.37,164.58,148.55
1536,15/10/2022,14/11/2022,Awasi,178.45,163.66,147.63
1537,15/10/2022,14/11/2022,Ahero,178.5,163.7,147.66
1538,15/10/2022,14/11/2022,Ugunja,178.93,164.13,148.1
1539,15/10/2022,14/11/2022,Asembo,178.57,163.78,147.75
1540,15/10/2022,14/11/2022,Usenge,179.06,164.26,148.22
1541,15/10/2022,14/11/2022,Harambee,178.54,163.75,147.71
1542,15/10/2022,14/11/2022,Muhuru Bay,180.31,165.52,149.48
1543,15/10/2022,14/11/2022,Kehancha,180.54,165.75,149.71
1544,15/10/2022,14/11/2022,Ntimaru,180.85,166.06,150.02
1545,15/10/2022,14/11/2022,Rongo,179.62,164.83,148.8
1546,15/10/2022,14/11/2022,Kaspokwony,179.59,164.8,148.75
1547,15/10/2022,14/11/2022,Chwele,179.53,164.74,148.7
1548,15/10/2022,14/11/2022,Kimilili,179.46,164.67,148.62
1549,15/10/2022,14/11/2022,Nambale,179.36,164.57,148.54
1550,15/10/2022,14/11/2022,SioPort,179.35,164.56,148.53
1551,15/10/2022,14/11/2022,Port Bunyala,179.4,164.61,148.57
1552,15/10/2022,14/11/2022,Funyula,179.22,164.43,148.4
1553,15/10/2022,14/11/2022,Ogembo,179.53,164.74,148.7
1554,15/10/2022,14/11/2022,Nyangusu,179.79,165.0,148.96
1555,15/10/2022,14/11/2022,Sengera,179.72,164.92,148.88
1556,15/10/2022,14/11/2022,Keumbu,179.44,164.64,148.61
1557,15/10/2022,14/11/2022,Marani,179.14,164.35,148.31
1558,15/10/2022,14/11/2022,Kerina,179.5,164.71,148.68
1559,15/10/2022,14/11/2022,Ikonge,178.86,164.07,148.03
1560,15/10/2022,14/11/2022,Nyansiongo,179.26,164.47,148.43
