,start_date,end_date,town,super_petrol,diesel,kerosene
223,15/06/2023,14/07/2023,Mombasa,179.2,164.45,158.65
224,15/06/2023,14/07/2023,Kilifi,179.92,165.16,159.36
225,15/06/2023,14/07/2023,Likoni Mainland,179.56,164.81,159.01
226,15/06/2023,14/07/2023,Kwale,179.56,164.81,159.01
227,15/06/2023,14/07/2023,Malindi,180.12,165.37,159.57
228,15/06/2023,14/07/2023,Lungalunga,180.27,165.52,159.72
229,15/06/2023,14/07/2023,Voi,180.68,165.92,160.13
230,15/06/2023,14/07/2023,Taveta,182.09,167.34,161.54
231,15/06/2023,14/07/2023,Lamu,182.51,167.75,161.96
232,15/06/2023,14/07/2023,Hola,182.79,168.04,162.24
233,15/06/2023,14/07/2023,Mpeketoni,182.51,167.75,161.96
234,15/06/2023,14/07/2023,Minjila,181.47,166.72,160.92
235,15/06/2023,14/07/2023,Garsen,181.56,166.81,161.01
236,15/06/2023,14/07/2023,Samburu,179.51,164.74,158.95
237,15/06/2023,14/07/2023,Taru,179.69,164.93,159.14
238,15/06/2023,14/07/2023,Mwatate,181.02,166.27,160.47
239,15/06/2023,14/07/2023,Wundanyi,181.18,166.43,160.64
240,15/06/2023,14/07/2023,Kaloleni,179.37,164.6,158.81
241,15/06/2023,14/07/2023,Marereni,180.78,166.03,160.23
242,15/06/2023,14/07/2023,Nairobi,182.04,167.28,161.48
243,15/06/2023,14/07/2023,Thika,182.04,167.28,161.48
244,15/06/2023,14/07/2023,Machakos,182.28,167.51,161.71
245,15/06/2023,14/07/2023,Kajiado,182.46,167.69,161.89
246,15/06/2023,14/07/2023,Makuyu,182.33,167.56,161.76
247,15/06/2023,14/07/2023,Muranga,182.56,167.8,162.0
248,15/06/2023,14/07/2023,Sagana,182.78,168.02,162.22
249,15/06/2023,14/07/2023,Embu,183.15,168.38,162.58
250,15/06/2023,14/07/2023,Kerugoya,183.07,168.3,162.5
251,15/06/2023,14/07/2023,Narok,183.43,168.66,162.86
252,15/06/2023,14/07/2023,Nyeri,183.42,168.65,162.85
253,15/06/2023,14/07/2023,Namanga,183.59,168.82,163.02
254,15/06/2023,14/07/2023,Kiganjo,183.37,168.61,162.81
255,15/06/2023,14/07/2023,Chuka,183.68,168.91,163.11
256,15/06/2023,14/07/2023,Kitui,183.57,168.8,163.0
257,15/06/2023,14/07/2023,Mwingi,183.96,169.19,163.39
258,15/06/2023,14/07/2023,Nanyuki,183.97,169.2,163.4
259,15/06/2023,14/07/2023,Nkubu,184.94,170.18,164.38
260,15/06/2023,14/07/2023,Mtito Andei,184.47,169.71,163.91
261,15/06/2023,14/07/2023,Meru,185.13,170.37,164.57
262,15/06/2023,14/07/2023,Isiolo,184.99,170.23,164.43
263,15/06/2023,14/07/2023,Maua,185.59,170.82,165.02
264,15/06/2023,14/07/2023,Garissa,186.21,171.44,165.64
265,15/06/2023,14/07/2023,Marsabit,189.9,175.13,169.33
266,15/06/2023,14/07/2023,Liboi,188.98,174.21,168.41
267,15/06/2023,14/07/2023,Moyale,191.47,176.71,170.91
268,15/06/2023,14/07/2023,Sololo,190.53,175.76,169.96
269,15/06/2023,14/07/2023,Habaswein,188.9,174.14,168.34
270,15/06/2023,14/07/2023,Dadaab,187.6,172.83,167.03
271,15/06/2023,14/07/2023,Tarbaj,191.15,176.39,170.59
272,15/06/2023,14/07/2023,Elwak,192.76,177.98,172.18
273,15/06/2023,14/07/2023,Wajir,191.3,176.54,170.74
274,15/06/2023,14/07/2023,Modogashe,189.04,174.28,168.48
275,15/06/2023,14/07/2023,Mandera,195.08,180.32,174.52
276,15/06/2023,14/07/2023,Matuu,182.94,168.17,162.38
277,15/06/2023,14/07/2023,Merti,187.39,172.62,166.82
278,15/06/2023,14/07/2023,Oldonyiro,184.4,169.64,163.84
279,15/06/2023,14/07/2023,Eldas,193.08,178.31,172.51
280,15/06/2023,14/07/2023,Bute,190.11,175.35,169.55
281,15/06/2023,14/07/2023,Hadado,188.71,173.94,168.14
282,15/06/2023,14/07/2023,Mai Mahiu,182.16,167.4,161.6
283,15/06/2023,14/07/2023,Doldo,184.73,169.97,164.17
284,15/06/2023,14/07/2023,Lamuria,183.86,169.1,163.3
285,15/06/2023,14/07/2023,Sipili,184.72,169.96,164.16
286,15/06/2023,14/07/2023,Marimanti,184.35,169.58,163.78
287,15/06/2023,14/07/2023,Mutuobare,183.69,168.92,163.12
288,15/06/2023,14/07/2023,North Horr,190.86,176.08,170.28
289,15/06/2023,14/07/2023,Maikona,189.46,174.7,168.9
290,15/06/2023,14/07/2023,Kalacha,190.01,175.25,169.45
291,15/06/2023,14/07/2023,Loyangalani,190.08,175.32,169.52
292,15/06/2023,14/07/2023,Turbi,189.89,175.12,169.32
293,15/06/2023,14/07/2023,Laisamis,187.09,172.32,166.53
294,15/06/2023,14/07/2023,Merille,186.8,172.02,166.22
295,15/06/2023,14/07/2023,Korr,188.03,173.26,167.47
296,15/06/2023,14/07/2023,Nakuru,181.18,166.78,161.01
297,15/06/2023,14/07/2023,Gilgil,181.14,166.74,160.96
298,15/06/2023,14/07/2023,Mogotio,181.13,166.73,160.95
299,15/06/2023,14/07/2023,Molo,181.21,166.82,161.04
300,15/06/2023,14/07/2023,Olenguruone,181.92,167.52,161.74
301,15/06/2023,14/07/2023,Londiani,181.44,167.04,161.26
302,15/06/2023,14/07/2023,Nyahururu,181.42,167.03,161.24
303,15/06/2023,14/07/2023,Archers Post,184.41,170.01,164.24
304,15/06/2023,14/07/2023,Lodosoit,185.51,171.12,165.34
305,15/06/2023,14/07/2023,Naivasha,181.5,167.11,161.33
306,15/06/2023,14/07/2023,Marigat,181.9,167.51,161.73
307,15/06/2023,14/07/2023,Kabarnet ,182.39,168.0,162.22
308,15/06/2023,14/07/2023,Maralal,183.48,169.08,163.31
309,15/06/2023,14/07/2023,Wamba,184.32,169.93,164.15
310,15/06/2023,14/07/2023,Rumuruti,181.97,167.57,161.79
311,15/06/2023,14/07/2023,Eldoret,181.88,167.49,161.71
312,15/06/2023,14/07/2023,Kiplombe,181.88,167.49,161.71
313,15/06/2023,14/07/2023,Iten,181.88,167.49,161.71
314,15/06/2023,14/07/2023,Naiberi,181.88,167.49,161.71
315,15/06/2023,14/07/2023,Kesses,181.88,167.49,161.71
316,15/06/2023,14/07/2023,Kapsabet,181.89,167.5,161.72
317,15/06/2023,14/07/2023,Webuye,182.3,167.92,162.13
318,15/06/2023,14/07/2023,Kitale,182.24,167.85,162.07
319,15/06/2023,14/07/2023,Kapenguria ,182.88,168.48,162.7
320,15/06/2023,14/07/2023,Bungoma,182.65,168.25,162.46
321,15/06/2023,14/07/2023,Moiben,181.89,167.5,161.72
322,15/06/2023,14/07/2023,Matunda,181.87,167.48,161.7
323,15/06/2023,14/07/2023,Burnt Forest,181.83,167.43,161.65
324,15/06/2023,14/07/2023,Tambach,181.92,167.53,161.74
325,15/06/2023,14/07/2023,Kapsowar,182.39,167.99,162.22
326,15/06/2023,14/07/2023,Chebara,182.27,167.88,162.1
327,15/06/2023,14/07/2023,Kimwarer,182.2,167.8,162.02
328,15/06/2023,14/07/2023,Timboroa,182.11,167.72,161.94
329,15/06/2023,14/07/2023,Nandi Hills,182.08,167.68,161.9
330,15/06/2023,14/07/2023,Kaiboi,181.94,167.54,161.76
331,15/06/2023,14/07/2023,Kiminini,182.42,168.04,162.25
332,15/06/2023,14/07/2023,Endebes,182.78,168.38,162.59
333,15/06/2023,14/07/2023,Saboti,182.45,168.06,162.28
334,15/06/2023,14/07/2023,Chepareria,183.08,168.7,162.91
335,15/06/2023,14/07/2023,Lomut,184.7,170.31,164.53
336,15/06/2023,14/07/2023,Burgich,183.5,169.11,163.33
337,15/06/2023,14/07/2023,Sigor,183.63,169.24,163.46
338,15/06/2023,14/07/2023,Lodwar,186.06,171.67,165.89
339,15/06/2023,14/07/2023,Kakuma,187.65,173.25,167.48
340,15/06/2023,14/07/2023,Lokichar,185.06,170.67,164.88
341,15/06/2023,14/07/2023,Kalokol,186.82,172.43,166.64
342,15/06/2023,14/07/2023,Lokori,185.43,171.03,165.25
343,15/06/2023,14/07/2023,Lokitaung,189.7,175.32,169.53
344,15/06/2023,14/07/2023,Kapedo,184.7,170.31,164.53
345,15/06/2023,14/07/2023,Malaba,183.05,168.65,162.87
346,15/06/2023,14/07/2023,Lokichogio,188.84,174.44,168.66
347,15/06/2023,14/07/2023,Ziwa,182.08,167.68,161.9
348,15/06/2023,14/07/2023,Soy,181.88,167.49,161.71
349,15/06/2023,14/07/2023,Moi's Bridge,181.95,167.55,161.77
350,15/06/2023,14/07/2023,Turbo,181.83,167.43,161.65
351,15/06/2023,14/07/2023,Kibish,189.94,175.54,169.77
352,15/06/2023,14/07/2023,Nakalale,188.76,174.37,168.59
353,15/06/2023,14/07/2023,Loima,185.18,170.79,165.0
354,15/06/2023,14/07/2023,Lokiriama,186.74,172.35,166.57
355,15/06/2023,14/07/2023,Kainuk,183.95,169.56,163.77
356,15/06/2023,14/07/2023,Kacheliba,183.28,168.89,163.1
357,15/06/2023,14/07/2023,Kiwawa,183.89,169.5,163.71
358,15/06/2023,14/07/2023,Ortum,183.47,169.08,163.3
359,15/06/2023,14/07/2023,Kachibora,182.27,167.88,162.1
360,15/06/2023,14/07/2023,Kwanza,182.98,168.59,162.81
361,15/06/2023,14/07/2023,Kaplamai,182.29,167.91,162.12
362,15/06/2023,14/07/2023,Eldama Ravine,182.71,168.32,162.53
