,start_date,end_date,town,super_petrol,diesel,kerosene
1115,15/11/2022,14/12/2022,Mombasa,174.98,159.76,143.69
1116,15/11/2022,14/12/2022,Kilifi,175.69,160.47,144.41
1117,15/11/2022,14/12/2022,Likoni Mainland,175.34,160.11,144.05
1118,15/11/2022,14/12/2022,Kwale,175.34,160.11,144.05
1119,15/11/2022,14/12/2022,Malindi,175.9,160.67,144.61
1120,15/11/2022,14/12/2022,Lungalunga,176.05,160.83,144.76
1121,15/11/2022,14/12/2022,Voi,176.46,161.24,145.17
1122,15/11/2022,14/12/2022,Taveta,177.86,162.64,146.58
1123,15/11/2022,14/12/2022,Lamu,178.27,163.06,147.0
1124,15/11/2022,14/12/2022,Hola,178.57,163.34,147.28
1125,15/11/2022,14/12/2022,Mpeketoni,178.27,163.06,147.0
1126,15/11/2022,14/12/2022,Minjila,177.25,162.02,145.96
1127,15/11/2022,14/12/2022,Garsen,177.33,162.11,146.05
1128,15/11/2022,14/12/2022,Samburu,175.28,160.06,144.0
1129,15/11/2022,14/12/2022,Taru,175.46,160.24,144.18
1130,15/11/2022,14/12/2022,Mwatate,176.79,161.57,145.51
1131,15/11/2022,14/12/2022,Wundanji,176.96,161.74,145.68
1132,15/11/2022,14/12/2022,Kaloleni,175.13,159.92,143.85
1133,15/11/2022,14/12/2022,Marereni,176.56,161.34,145.27
1134,15/11/2022,14/12/2022,Nairobi,177.3,162.0,145.94
1135,15/11/2022,14/12/2022,Thika,177.31,162.01,145.94
1136,15/11/2022,14/12/2022,Machakos,177.54,162.24,146.18
1137,15/11/2022,14/12/2022,Kajiado,177.72,162.42,146.36
1138,15/11/2022,14/12/2022,Makuyu,177.59,162.29,146.23
1139,15/11/2022,14/12/2022,Muranga,177.82,162.52,146.46
1140,15/11/2022,14/12/2022,Sagana,178.05,162.75,146.68
1141,15/11/2022,14/12/2022,Embu,178.4,163.1,147.04
1142,15/11/2022,14/12/2022,Kerugoya,178.33,163.03,146.97
1143,15/11/2022,14/12/2022,Narok,178.69,163.4,147.33
1144,15/11/2022,14/12/2022,Nyeri,178.67,163.37,147.31
1145,15/11/2022,14/12/2022,Namanga,178.85,163.55,147.48
1146,15/11/2022,14/12/2022,Kiganjo,178.64,163.34,147.28
1147,15/11/2022,14/12/2022,Chuka,178.93,163.63,147.57
1148,15/11/2022,14/12/2022,Kitui,178.84,163.54,147.47
1149,15/11/2022,14/12/2022,Mwingi,179.22,163.93,147.86
1150,15/11/2022,14/12/2022,Nanyuki,179.23,163.94,147.87
1151,15/11/2022,14/12/2022,Nkubu,180.21,164.91,148.84
1152,15/11/2022,14/12/2022,Mtito Andei,179.74,164.44,148.38
1153,15/11/2022,14/12/2022,Meru,180.4,165.1,149.04
1154,15/11/2022,14/12/2022,Isiolo,180.26,164.96,148.89
1155,15/11/2022,14/12/2022,Maua,180.85,165.56,149.49
1156,15/11/2022,14/12/2022,Garissa,181.47,166.17,150.11
1157,15/11/2022,14/12/2022,Marsabit,185.15,169.85,153.79
1158,15/11/2022,14/12/2022,Liboi,184.24,168.94,152.87
1159,15/11/2022,14/12/2022,Moyale,186.74,171.44,155.37
1160,15/11/2022,14/12/2022,Sololo,185.79,170.49,154.43
1161,15/11/2022,14/12/2022,Habaswein,184.16,168.86,152.8
1162,15/11/2022,14/12/2022,Dadaab,182.85,167.55,151.49
1163,15/11/2022,14/12/2022,Tarbaj,186.42,171.12,155.04
1164,15/11/2022,14/12/2022,Elwak,188.02,172.72,156.65
1165,15/11/2022,14/12/2022,Wajir,186.57,171.27,155.21
1166,15/11/2022,14/12/2022,Modogashe,184.3,169.0,152.94
1167,15/11/2022,14/12/2022,Mandera,190.35,175.05,158.98
1168,15/11/2022,14/12/2022,Matuu,178.2,162.9,146.84
