,start_date,end_date,town,super_petrol,diesel,kerosene
3382,15/11/2021,14/12/2021,Mombasa,127.46,108.36,101.29
3383,15/11/2021,14/12/2021,Kilifi,128.17,109.07,102.01
3384,15/11/2021,14/12/2021,Likoni Mainland,127.82,108.71,101.65
3385,15/11/2021,14/12/2021,Kwale,127.82,108.71,101.65
3386,15/11/2021,14/12/2021,Malindi,128.39,109.27,102.21
3387,15/11/2021,14/12/2021,Lungalunga,128.53,109.43,102.36
3388,15/11/2021,14/12/2021,Voi,128.94,109.84,102.76
3389,15/11/2021,14/12/2021,Taveta,130.36,111.24,104.18
3390,15/11/2021,14/12/2021,Lamu,130.77,111.65,104.59
3391,15/11/2021,14/12/2021,Hola,131.05,111.94,104.88
3392,15/11/2021,14/12/2021,Nairobi,129.72,110.6,103.54
3393,15/11/2021,14/12/2021,Thika,129.72,110.6,103.54
3394,15/11/2021,14/12/2021,Machakos,129.95,110.84,103.78
3395,15/11/2021,14/12/2021,Kajiado,130.13,111.01,103.95
3396,15/11/2021,14/12/2021,Makuyu,130.0,110.88,103.82
3397,15/11/2021,14/12/2021,Muranga,130.24,111.12,104.06
3398,15/11/2021,14/12/2021,Sagana,130.45,111.34,104.27
3399,15/11/2021,14/12/2021,Embu,130.82,111.7,104.64
3400,15/11/2021,14/12/2021,Kerugoya,130.73,111.63,104.57
3401,15/11/2021,14/12/2021,Narok,131.1,111.99,104.92
3402,15/11/2021,14/12/2021,Nyeri,131.09,111.97,104.91
3403,15/11/2021,14/12/2021,Namanga,131.25,112.15,105.07
3404,15/11/2021,14/12/2021,Kiganjo,131.05,111.93,104.87
3405,15/11/2021,14/12/2021,Chuka,131.35,112.23,105.17
3406,15/11/2021,14/12/2021,Kitui,131.24,112.13,105.06
3407,15/11/2021,14/12/2021,Mwingi,131.63,112.51,105.45
3408,15/11/2021,14/12/2021,Nanyuki,131.64,112.54,105.46
3409,15/11/2021,14/12/2021,Nkubu,132.61,113.5,106.43
3410,15/11/2021,14/12/2021,Mtito Andei,132.15,113.03,105.97
3411,15/11/2021,14/12/2021,Meru,132.81,113.69,106.63
3412,15/11/2021,14/12/2021,Isiolo,132.67,113.55,106.49
3413,15/11/2021,14/12/2021,Maua,133.26,114.15,107.08
3414,15/11/2021,14/12/2021,Garissa,133.88,114.77,107.71
3415,15/11/2021,14/12/2021,Marsabit,137.57,118.45,111.39
3416,15/11/2021,14/12/2021,Liboi,136.65,117.54,110.47
3417,15/11/2021,14/12/2021,Moyale,139.15,120.03,112.97
3418,15/11/2021,14/12/2021,Sololo,138.2,119.09,112.03
3419,15/11/2021,14/12/2021,Habaswein,136.57,117.46,110.4
3420,15/11/2021,14/12/2021,Dadaab,135.27,116.15,109.09
3421,15/11/2021,14/12/2021,Tarbaj,138.82,119.71,112.64
3422,15/11/2021,14/12/2021,Elwak,140.42,121.32,114.25
3423,15/11/2021,14/12/2021,Wajir,138.97,119.87,112.8
3424,15/11/2021,14/12/2021,Modogashe,136.72,117.6,110.54
3425,15/11/2021,14/12/2021,Mandera,142.75,123.64,116.58
3426,15/11/2021,14/12/2021,Nakuru,129.24,110.43,103.39
3427,15/11/2021,14/12/2021,Gilgil,129.21,110.39,103.36
3428,15/11/2021,14/12/2021,Mogotio,129.2,110.38,103.33
3429,15/11/2021,14/12/2021,Molo,129.29,110.46,103.43
3430,15/11/2021,14/12/2021,Olenguruone,129.99,111.16,104.13
3431,15/11/2021,14/12/2021,Londiani,129.5,110.69,103.65
3432,15/11/2021,14/12/2021,Nyahururu,129.49,110.68,103.64
3433,15/11/2021,14/12/2021,Archers Post,132.48,113.66,106.63
3434,15/11/2021,14/12/2021,Lodosoit,133.57,114.76,107.72
3435,15/11/2021,14/12/2021,Naivasha,129.57,110.75,103.71
3436,15/11/2021,14/12/2021,Marigat,129.97,111.15,104.11
3437,15/11/2021,14/12/2021,Kabarnet ,130.46,111.64,104.61
