,start_date,end_date,town,super_petrol,diesel,kerosene
446,15/04/2023,14/05/2023,Mombasa,176.98,159.76,143.69
447,15/04/2023,14/05/2023,Kilifi,177.69,160.47,144.41
448,15/04/2023,14/05/2023,Likoni Mainland,177.34,160.11,144.05
449,15/04/2023,14/05/2023,Kwale,177.34,160.11,144.05
450,15/04/2023,14/05/2023,Malindi,177.9,160.67,144.61
451,15/04/2023,14/05/2023,Lungalunga,178.05,160.83,144.76
452,15/04/2023,14/05/2023,Voi,178.46,161.24,145.17
453,15/04/2023,14/05/2023,Taveta,179.86,162.64,146.58
454,15/04/2023,14/05/2023,Lamu,180.27,163.06,147.0
455,15/04/2023,14/05/2023,Hola,180.57,163.34,147.28
456,15/04/2023,14/05/2023,Mpeketoni,180.27,163.06,147.0
457,15/04/2023,14/05/2023,Minjila,179.25,162.02,145.96
458,15/04/2023,14/05/2023,Garsen,179.33,162.11,146.05
459,15/04/2023,14/05/2023,Samburu,177.28,160.06,144.0
460,15/04/2023,14/05/2023,Taru,177.46,160.24,144.18
461,15/04/2023,14/05/2023,Mwatate,178.79,161.57,145.51
462,15/04/2023,14/05/2023,Wundanyi,178.96,161.74,145.68
463,15/04/2023,14/05/2023,Kaloleni,177.13,159.92,143.85
464,15/04/2023,14/05/2023,Marereni,178.56,161.34,145.27
465,15/04/2023,14/05/2023,Nairobi,179.3,162.0,145.94
466,15/04/2023,14/05/2023,Thika,179.31,162.01,145.94
467,15/04/2023,14/05/2023,Machakos,179.54,162.24,146.18
468,15/04/2023,14/05/2023,Kajiado,179.72,162.42,146.36
469,15/04/2023,14/05/2023,Makuyu,179.59,162.29,146.23
470,15/04/2023,14/05/2023,Muranga,179.82,162.52,146.46
471,15/04/2023,14/05/2023,Sagana,180.05,162.75,146.68
472,15/04/2023,14/05/2023,Embu,180.4,163.1,147.04
473,15/04/2023,14/05/2023,Kerugoya,180.33,163.03,146.97
474,15/04/2023,14/05/2023,Narok,180.69,163.4,147.33
475,15/04/2023,14/05/2023,Nyeri,180.67,163.37,147.31
476,15/04/2023,14/05/2023,Namanga,180.85,163.55,147.48
477,15/04/2023,14/05/2023,Kiganjo,180.64,163.34,147.28
478,15/04/2023,14/05/2023,Chuka,180.93,163.63,147.57
479,15/04/2023,14/05/2023,Kitui,180.84,163.54,147.47
480,15/04/2023,14/05/2023,Mwingi,181.22,163.93,147.86
481,15/04/2023,14/05/2023,Nanyuki,181.23,163.94,147.87
482,15/04/2023,14/05/2023,Nkubu,182.21,164.91,148.84
483,15/04/2023,14/05/2023,Mtito Andei,181.74,164.44,148.38
484,15/04/2023,14/05/2023,Meru,182.4,165.1,149.04
485,15/04/2023,14/05/2023,Isiolo,182.26,164.96,148.89
486,15/04/2023,14/05/2023,Maua,182.85,165.56,149.49
487,15/04/2023,14/05/2023,Garissa,183.47,166.17,150.11
488,15/04/2023,14/05/2023,Marsabit,187.15,169.85,153.79
489,15/04/2023,14/05/2023,Liboi,186.24,168.94,152.87
490,15/04/2023,14/05/2023,Moyale,188.74,171.44,155.37
491,15/04/2023,14/05/2023,Sololo,187.79,170.49,154.43
492,15/04/2023,14/05/2023,Habaswein,186.16,168.86,152.8
493,15/04/2023,14/05/2023,Dadaab,184.85,167.55,151.49
494,15/04/2023,14/05/2023,Tarbaj,188.42,171.12,155.04
495,15/04/2023,14/05/2023,Elwak,190.02,172.72,156.65
496,15/04/2023,14/05/2023,Wajir,188.57,171.27,155.21
497,15/04/2023,14/05/2023,Modogashe,186.3,169.0,152.94
498,15/04/2023,14/05/2023,Mandera,192.35,175.05,158.98
499,15/04/2023,14/05/2023,Matuu,180.2,162.9,146.84
500,15/04/2023,14/05/2023,Merti,184.65,167.35,151.29
501,15/04/2023,14/05/2023,Oldonyiro,181.67,164.36,148.29
502,15/04/2023,14/05/2023,Eldas,190.34,173.04,156.98
503,15/04/2023,14/05/2023,Bute,187.38,170.08,154.02
504,15/04/2023,14/05/2023,Hadado,185.97,168.67,152.6
505,15/04/2023,14/05/2023,Mai Mahiu,179.42,162.12,146.06
