,start_date,end_date,town,super_petrol,diesel,kerosene
1784,15/08/2022,14/09/2022,Mombasa,156.86,137.76,125.69
1785,15/08/2022,14/09/2022,Kilifi,157.57,138.47,126.41
1786,15/08/2022,14/09/2022,Likoni Mainland,157.22,138.11,126.05
1787,15/08/2022,14/09/2022,Kwale,157.22,138.11,126.05
1788,15/08/2022,14/09/2022,Malindi,157.78,138.67,126.61
1789,15/08/2022,14/09/2022,Lungalunga,157.93,138.83,126.76
1790,15/08/2022,14/09/2022,Voi,158.34,139.24,127.17
1791,15/08/2022,14/09/2022,Taveta,159.75,140.64,128.58
1792,15/08/2022,14/09/2022,Lamu,160.16,141.06,129.0
1793,15/08/2022,14/09/2022,Hola,160.45,141.34,129.28
1794,15/08/2022,14/09/2022,Mpeketoni,160.16,141.06,129.0
1795,15/08/2022,14/09/2022,Minjila,159.13,140.02,127.96
1796,15/08/2022,14/09/2022,Garsen,159.22,140.11,128.05
1797,15/08/2022,14/09/2022,Samburu,157.16,138.06,126.0
1798,15/08/2022,14/09/2022,Taru,157.34,138.24,126.18
1799,15/08/2022,14/09/2022,Mwatate,158.68,139.57,127.51
1800,15/08/2022,14/09/2022,Wundanji,158.84,139.74,127.68
1801,15/08/2022,14/09/2022,Kaloleni,157.01,137.92,125.85
1802,15/08/2022,14/09/2022,Marereni,158.44,139.34,127.27
1803,15/08/2022,14/09/2022,Nairobi,159.12,140.0,127.94
1804,15/08/2022,14/09/2022,Thika,159.12,140.01,127.94
1805,15/08/2022,14/09/2022,Machakos,159.36,140.24,128.18
1806,15/08/2022,14/09/2022,Kajiado,159.54,140.42,128.36
1807,15/08/2022,14/09/2022,Makuyu,159.41,140.29,128.23
1808,15/08/2022,14/09/2022,Muranga,159.64,140.52,128.46
1809,15/08/2022,14/09/2022,Sagana,159.85,140.75,128.68
1810,15/08/2022,14/09/2022,Embu,160.22,141.1,129.04
1811,15/08/2022,14/09/2022,Kerugoya,160.14,141.03,128.97
1812,15/08/2022,14/09/2022,Narok,160.5,141.4,129.33
1813,15/08/2022,14/09/2022,Nyeri,160.49,141.37,129.31
1814,15/08/2022,14/09/2022,Namanga,160.66,141.55,129.48
1815,15/08/2022,14/09/2022,Kiganjo,160.46,141.34,129.28
1816,15/08/2022,14/09/2022,Chuka,160.75,141.63,129.57
1817,15/08/2022,14/09/2022,Kitui,160.65,141.54,129.47
1818,15/08/2022,14/09/2022,Mwingi,161.03,141.93,129.86
1819,15/08/2022,14/09/2022,Nanyuki,161.05,141.94,129.87
1820,15/08/2022,14/09/2022,Nkubu,162.01,142.91,130.84
1821,15/08/2022,14/09/2022,Mtito Andei,161.55,142.44,130.38
1822,15/08/2022,14/09/2022,Meru,162.21,143.1,131.04
1823,15/08/2022,14/09/2022,Isiolo,162.07,142.96,130.89
1824,15/08/2022,14/09/2022,Maua,162.66,143.56,131.49
1825,15/08/2022,14/09/2022,Garissa,163.29,144.17,132.11
1826,15/08/2022,14/09/2022,Marsabit,166.97,147.85,135.79
1827,15/08/2022,14/09/2022,Liboi,166.05,146.94,134.87
1828,15/08/2022,14/09/2022,Moyale,168.55,149.44,137.37
1829,15/08/2022,14/09/2022,Sololo,167.61,148.49,136.43
1830,15/08/2022,14/09/2022,Habaswein,165.98,146.86,134.8
