,start_date,end_date,town,super_petrol,diesel,kerosene
669,15/01/2023,14/02/2023,Mombasa,174.98,159.76,143.69
670,15/01/2023,14/02/2023,Kilifi,175.69,160.47,144.41
671,15/01/2023,14/02/2023,Likoni Mainland,175.34,160.11,144.05
672,15/01/2023,14/02/2023,Kwale,175.34,160.11,144.05
673,15/01/2023,14/02/2023,Malindi,175.9,160.67,144.61
674,15/01/2023,14/02/2023,Lungalunga,176.05,160.83,144.76
675,15/01/2023,14/02/2023,Voi,176.46,161.24,145.17
676,15/01/2023,14/02/2023,Taveta,177.86,162.64,146.58
677,15/01/2023,14/02/2023,Lamu,178.27,163.06,147.0
678,15/01/2023,14/02/2023,Hola,178.57,163.34,147.28
679,15/01/2023,14/02/2023,Mpeketoni,178.27,163.06,147.0
680,15/01/2023,14/02/2023,Minjila,177.25,162.02,145.96
681,15/01/2023,14/02/2023,Garsen,177.33,162.11,146.05
682,15/01/2023,14/02/2023,Samburu,175.28,160.06,144.0
683,15/01/2023,14/02/2023,Taru,175.46,160.24,144.18
684,15/01/2023,14/02/2023,Mwatate,176.79,161.57,145.51
685,15/01/2023,14/02/2023,Wundanji,176.96,161.74,145.68
686,15/01/2023,14/02/2023,Kaloleni,175.13,159.92,143.85
687,15/01/2023,14/02/2023,Marereni,176.56,161.34,145.27
688,15/01/2023,14/02/2023,Nairobi,177.3,162.0,145.94
689,15/01/2023,14/02/2023,Thika,177.31,162.01,145.94
690,15/01/2023,14/02/2023,Machakos,177.54,162.24,146.18
691,15/01/2023,14/02/2023,Kajiado,177.72,162.42,146.36
692,15/01/2023,14/02/2023,Makuyu,177.59,162.29,146.23
693,15/01/2023,14/02/2023,Muranga,177.82,162.52,146.46
694,15/01/2023,14/02/2023,Sagana,178.05,162.75,146.68
695,15/01/2023,14/02/2023,Embu,178.4,163.1,147.04
696,15/01/2023,14/02/2023,Kerugoya,178.33,163.03,146.97
697,15/01/2023,14/02/2023,Narok,178.69,163.4,147.33
698,15/01/2023,14/02/2023,Nyeri,178.67,163.37,147.31
699,15/01/2023,14/02/2023,Namanga,178.85,163.55,147.48
700,15/01/2023,14/02/2023,Kiganjo,178.64,163.34,147.28
701,15/01/2023,14/02/2023,Chuka,178.93,163.63,147.57
702,15/01/2023,14/02/2023,Kitui,178.84,163.54,147.47
703,15/01/2023,14/02/2023,Mwingi,179.22,163.93,147.86
